变脸 Face/Off,生死时速,碟中谍,,,,,
碟中谍4,,,,,,,
非常嫌疑犯,追随,,,,,,
落水狗,末路狂花,疤面煞星,,,,,
落水狗,,,,,,,
风声,催眠大师,,,,,,
碟中谍5：神秘国度,,,,,,,
喋血双雄 喋血雙雄,,,,,,,
电话谋杀案,后窗,西北偏北,,,,,
一个星期四,套装,孟买酒店,蒙太奇,,,,
电话谋杀案,后窗,西北偏北,,,,,
杀手,冰血暴,电话谋杀案,,,,,
黑社会 黑社會,黑社会2：以和为贵,放·逐,无间道2,,,,
盗火线 Heat,情枭的黎明,疤面煞星,训练日,,,,
新上海滩,黑社会,无间道2,,,,,
王牌对王牌 The Negotiator,非常嫌疑犯,十一罗汉,追随,,,,
杀手,老无所依,,,,,,
疤面煞星,情枭的黎明,落水狗,黑社会,,,,
追击者 추격자,蒙太奇,不可饶恕,走到尽头,非常嫌疑犯,,,
黑社会,门徒,,,,,,
非常嫌疑犯,,,,,,,
落水狗 Reservoir Dogs,疤面煞星,末路狂花,,,,,
罪恶之城 Sin City,杀死比尔,罪恶之城2,落水狗,,,,
罪恶之城,落水狗,老无所依,,,,,
黑社会,放·逐,,,,,,
催眠大师,,,,,,,
西北偏北,电话谋杀案,后窗,M就是凶手,,,,
杀死比尔 Kill Bill: Vol. 1,杀死比尔2,罪恶之城,落水狗,,,,
情枭的黎明 Carlito's Way,疤面煞星,铁面无私,,,,,
老无所依 No Country for Old Men,冰血暴,沉默的羔羊,非常嫌疑犯,落水狗,,,
飓风营救 Taken,碟中谍4,金蝉脱壳,,,,,
捉迷藏,,,,,,,
汉尼拔 Hannibal,红龙,少年汉尼拔,沉默的羔羊,死神来了,,,
怪房客,惊魂记,群鸟,,,,,
夜行者 Nightcrawler,老无所依,非常嫌疑犯,我是谁：没有绝对安全的系统,追随,追击者,,
椿三十郎,,,,,,,
调音师 Andhadhun,,,,,,,
猛龙过江 猛龍過江,,,,,,,
黑社会,放·逐,,,,,,
无间道3：终极无间 無間道III 終極無間,无间道2,黑社会,门徒,,,,
危情十日 Misery,惊魂记,无声言证,孤儿怨,,,,
目击者之追凶 目擊者,蒙太奇,我是谁：没有绝对安全的系统,非常嫌疑犯,,,,
黑社会2：以和为贵 黑社會以和為貴,黑社会,放·逐,,,,,
母亲 마더,追击者,蒙太奇,那家伙的声音,追随,,,
我是谁：没有绝对安全的系统 Who Am I - Kein System ist sicher,非常嫌疑犯,,,,,,
放·逐,黑社会,,,,,,
黑社会,放·逐,,,,,,
杀手,,,,,,,
