夺魂索 Rope,电话谋杀案,爱德华大夫,西北偏北,擒凶记,深闺疑云,辣手摧花,后窗
十二猴子,,,,,,,
网络谜踪,,,,,,,
惊天魔盗团 Now You See Me,惊天魔盗团2,七宗罪,禁闭岛,,,,
双重赔偿,,,,,,,
谍影重重2,,,,,,,
西北偏北,,,,,,,
记忆碎片,禁闭岛,,,,,,
谍影重重2,,,,,,,
洛城机密,,,,,,,
擒凶记,夺魂索,深闺疑云,辣手摧花,爱德华大夫,西北偏北,电话谋杀案,
神秘河 Mystic River,洛城机密,一级恐惧,换子疑云,大卫·戈尔的一生,唐人街,囚徒,
亡命天涯 The Fugitive,,,,,,,
一级恐惧,致命ID,小岛惊魂,七宗罪,万能钥匙,,,
抚养亚利桑纳,,,,,,,
囚徒,,,,,,,
大侦探福尔摩斯2：诡影游戏 Sherlock Holmes: A Game of Shadows,大侦探福尔摩斯,达·芬奇密码,记忆碎片,禁闭岛,龙纹身的女孩,惊天魔盗团,七宗罪
游戏之夜,,,,,,,
一级恐惧,十二宫,惊魂记,,,,,
猎凶风河谷 Wind River,囚徒,,,,,,
一级恐惧,龙纹身的女孩,七宗罪,,,,,
捕蝇纸 Flypaper,局内人,,,,,,
双重赔偿,桃色血案,电话谋杀案,唐人街,,,,
