我是山姆,,,,,,,,,
爱在日落黄昏时 Before Sunset,恋恋笔记本,爱乐之城,,,,,,,
猫鼠游戏,血钻,,,,,,,,
三块广告牌,,,,,,,,,
恋恋笔记本,爱乐之城,,,,,,,,
百万美元宝贝,幸福终点站,,,,,,,,
猫鼠游戏,,,,,,,,,
爱在午夜降临前 Before Midnight,爱在日落黄昏时,恋恋笔记本,爱乐之城,,,,,,
猫鼠游戏,利刃出鞘,三块广告牌,,,,,,,
大鱼,少年派的奇幻漂流,本杰明·巴顿奇事,,,,,,,
记忆碎片,禁闭岛,致命ID,猫鼠游戏,,,,,,
断背山 Brokeback Mountain,恋恋笔记本,,,,,,,,
模仿游戏 The Imitation Game,1917,社交网络,,,,,,,
