,title,director0,director1,director2,attr0,attr1,attr2,genre0,genre1,genre2,region0,lang0,lang1,lang2,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
69,黑洞频率 Frequency,格里高利·霍布里,unknown,unknown,丹尼斯·奎德,吉姆·卡维泽,肖恩·多伊尔,科幻,悬疑,犯罪,美国,英语,unknown,unknown,2000,超时空接触,异次元骇客,十二猴子,K星异客,这个男人来自地球,月球,源代码,时空线索,前目的地,回到未来
70,卡里加里博士的小屋 Das Cabinet des Dr. Caligari,罗伯特·维,unknown,unknown,维尔纳·克劳斯,康拉德·韦特,弗里德里希·费赫尔,悬疑,恐怖,犯罪,德国,德语,unknown,unknown,1920,诺斯费拉图,罗斯玛丽的婴儿,怪谈,闪灵,怪房客,惊魂记,群鸟,着魔,橡皮头,迷魂记
71,老男孩 올드보이,朴赞,unknown,unknown,崔岷植,刘智泰,姜惠贞,剧情,动作,悬疑,韩国,韩语,unknown,unknown,2003,黄海,我要复仇,搏击俱乐部,杀人回忆,亲切的金子,追击者,记忆碎片,非常嫌疑犯,穆赫兰道,禁闭岛
72,超时空接触 Contact,罗伯特·泽米吉,unknown,unknown,吉娜·马隆,大卫·摩斯,朱迪·福斯特,剧情,科幻,悬疑,美国,英语,unknown,unknown,1997,这个男人来自地球,K星异客,异次元骇客,火星任务,深渊,2001太空漫游,十二猴子,回到未来,月球,第九区
73,异次元骇客 The Thirteenth Floor,约瑟夫·鲁斯纳,unknown,unknown,克雷格·比尔克,阿明·缪勒-斯塔尔,格瑞辰·摩尔,科幻,悬疑,惊悚,美国,英语,unknown,unknown,1999,超时空接触,十二猴子,K星异客,移魂都市,这个男人来自地球,黑洞频率,月球,前目的地,千钧一发,少数派报告
74,蓝白红三部曲之白 Trois couleurs: Blanc,克日什托夫·基耶斯洛夫斯,unknown,unknown,泽比纽·扎马洲斯基,朱莉·德尔佩,扬努斯·加约斯,剧情,喜剧,爱情,法国,法语,unknown,unknown,1994,蓝白红三部曲之蓝,两生花,新桥恋人,乡愁,永恒和一日,对她说,祖与占,春天的故事,秋天的故事,花样年华
75,电锯惊魂2 Saw II,达伦·林恩·鲍斯,unknown,unknown,托宾·贝尔,肖妮·史密斯,唐尼·沃尔伯格,悬疑,惊悚,恐怖,美国,英语,unknown,unknown,2005,电锯惊魂3,死神来了,死寂,寂静岭,招魂,闪灵,万能钥匙,潜伏,孤儿怨,恐怖游轮
76,潜行者 Сталкер,安德烈·塔可夫斯,unknown,unknown,亚历山大·凯伊达诺夫斯基,阿丽萨·弗雷因德利赫,安纳托利·索洛尼岑,剧情,科幻,悬疑,苏联,俄语,unknown,unknown,1979,飞向太空,大都会,阿尔法城,2001太空漫游,乡愁,银色星球,直到世界尽头,错位,银翼杀手,妙想天开
77,调音师 Andhadhun,斯里兰姆·拉格,unknown,unknown,阿尤斯曼·库拉纳,塔布,拉迪卡·艾普特,喜剧,悬疑,惊悚,印度,印地语,unknown,unknown,2018,看不见的客人,利刃出鞘,误杀,控方证人,网络谜踪,禁闭岛,无双,记忆碎片,心迷宫,杀人回忆
78,暴裂无声,忻钰,unknown,unknown,宋洋,姜武,袁文康,剧情,悬疑,犯罪,中国大陆,国语,unknown,unknown,2017,心迷宫,看不见的客人,杀人回忆,利刃出鞘,网络谜踪,追凶者也,控方证人,烈日灼心,猫鼠游戏,无双
79,天才枪手 ฉลาดเกมส์โกง,纳塔吾·彭皮里,unknown,unknown,茱蒂蒙·琼查容苏因,查侬·散顶腾古,依莎亚·贺苏汪,剧情,悬疑,犯罪,泰国,泰语,unknown,unknown,2017,猫鼠游戏,误杀,看不见的客人,湄公河行动,无双,恐怖直播,杀人回忆,烈日灼心,暴裂无声,网络谜踪
80,孤儿怨 Orphan,佐米·希尔,unknown,unknown,维拉·法米加,彼得·萨斯加德,伊莎贝拉·弗尔曼,悬疑,惊悚,恐怖,美国,英语,unknown,unknown,2009,死寂,招魂,闪灵,万能钥匙,小岛惊魂,寂静岭,恐怖游轮,死神来了,潜伏,鬼影
81,罪恶之家 An Inspector Calls,艾斯林·沃,unknown,unknown,大卫·休里斯,米兰达·理查森,苏菲·兰朵,剧情,悬疑,unknown,英国,英语,unknown,unknown,2015,看不见的客人,追随,非常嫌疑犯,大卫·戈尔的一生,控方证人,记忆碎片,利刃出鞘,网络谜踪,一级恐惧,我是谁：没有绝对安全的系统
82,目击者之追凶 目擊者,程伟,unknown,unknown,庄凯勋,许玮甯,柯佳嬿,悬疑,惊悚,犯罪,中国台湾,国语,unknown,unknown,2017,看不见的客人,特工,网络谜踪,神探,蒙太奇,利刃出鞘,杀人回忆,心迷宫,我是谁：没有绝对安全的系统,非常嫌疑犯
