,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,region0,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
63,让子弹飞,姜,姜文,葛优,周润发,剧情,喜剧,动作,中国大陆,国语,2010,疯狂的石头,唐伯虎点秋香,功夫,九品芝麻官,射雕英雄传之东成西就,两杆大烟枪,驴得水,大话西游之月光宝盒,布达佩斯大饭店,喜剧之王
64,摔跤吧！爸爸 Dangal,涅提·蒂瓦,阿米尔·汗,法缇玛·萨那·纱卡,桑亚·玛荷塔,剧情,家庭,传记,印度,印地语,2016,当幸福来敲门,肖申克的救赎,阿甘正传,三傻大闹宝莱坞,贫民窟的百万富翁,国王的演讲,寻梦环游记,奇迹男孩,心灵捕手,饮食男女
65,芙蓉镇,谢,刘晓庆,姜文,郑在石,剧情,爱情,unknown,中国大陆,国语,1987,牧马人,马路天使,甜蜜蜜,老井,花样年华,重庆森林,红高粱,小城之春,独立时代,恋恋风尘
66,狩猎 Jagten,托马斯·温特伯,麦斯·米科尔森,托玛斯·博·拉森,安妮卡·韦德科普,剧情,unknown,unknown,丹麦,丹麦语,2012,控方证人,记忆碎片,看不见的客人,禁闭岛,致命魔术,追随,非常嫌疑犯,杀人回忆,大卫·戈尔的一生,蝴蝶效应
67,春光乍泄 春光乍洩,王家,张国荣,梁朝伟,张震,剧情,爱情,同性,中国香港,国语,1997,蓝宇,断背山,重庆森林,花样年华,请以你的名字呼唤我,喜宴,霸王别姬,阿飞正传,谁先爱上他的,甜蜜蜜
68,本杰明·巴顿奇事 The Curious Case of Benjamin Button,大卫·芬,凯特·布兰切特,布拉德·皮特,朱莉娅·奥蒙德,剧情,爱情,奇幻,美国,英语,2008,罗马假日,爱在黎明破晓前,恋恋笔记本,泰坦尼克号,重庆森林,天使爱美丽,倩女幽魂,傲慢与偏见,爱乐之城,真爱至上
69,城市之光 City Lights,查理·卓别,查理·卓别林,弗吉尼亚·切瑞尔,佛罗伦斯·李,剧情,喜剧,爱情,美国,英语,1931,淘金记,摩登时代,寻子遇仙记,马戏团,九品芝麻官,大独裁者,唐伯虎点秋香,福尔摩斯二世,喜剧之王,功夫
70,搏击俱乐部 Fight Club,大卫·芬,爱德华·诺顿,布拉德·皮特,海伦娜·伯翰·卡特,剧情,动作,悬疑,美国,英语,1999,记忆碎片,七宗罪,禁闭岛,致命魔术,控方证人,非常嫌疑犯,看不见的客人,穆赫兰道,杀人回忆,沉默的羔羊
71,无人知晓 誰も知らない,是枝裕,柳乐优弥,北浦爱,木村飞影,剧情,unknown,unknown,日本,日语,2004,步履不停,如父如子,比海更深,东京物语,饮食男女,海街日记,小偷家族,奇迹,一一,海边的曼彻斯特
72,完美的世界 A Perfect World,克林特·伊斯特伍,凯文·科斯特纳,劳拉·邓恩,克林特·伊斯特伍德,剧情,犯罪,unknown,美国,英语,1993,猫鼠游戏,末路狂花,杀人回忆,血钻,七宗罪,熔炉,恐怖直播,可可西里,非常嫌疑犯,上帝之城
