,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,region0,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
42,蝙蝠侠：侠影之谜 Batman Begins,克里斯托弗·诺,克里斯蒂安·贝尔,迈克尔·凯恩,连姆·尼森,剧情,动作,科幻,美国,英语,2005,蝙蝠侠：黑暗骑士崛起,黑客帝国2：重装上阵,钢铁侠,变形金刚,终结者2：审判日,美国队长2,蜘蛛侠,X战警：逆转未来,复仇者联盟,扎克·施奈德版正义联盟
43,黄海 황해,罗泓,河正宇,金允石,郑满植,剧情,动作,犯罪,韩国,韩语,2010,追击者,我要复仇,特工,杀人回忆,恐怖直播,与犯罪的战争：坏家伙的全盛时代,局内人,新世界,蒙太奇,走到尽头
44,乱,黑泽,仲代达矢,寺尾聪,根津甚八,剧情,动作,unknown,日本,日语,1985,影武者,蜘蛛巢城,七武士,伊万的童年,光荣之路,全金属外壳,战国英豪,现代启示录,从海底出击,虎！虎！虎！
45,守望者 Watchmen,扎克·施奈,帕特里克·威尔森,卡拉·古奇诺,比利·克鲁德普,动作,科幻,悬疑,美国,英语,2009,扎克·施奈德版正义联盟,黑客帝国2：重装上阵,蝙蝠侠：侠影之谜,X战警：逆转未来,终结者2：审判日,超人：钢铁之躯,我，机器人,银翼杀手,蜘蛛侠,变形金刚
46,变脸 Face/Off,吴宇,约翰·特拉沃尔塔,尼古拉斯·凯奇,琼·艾伦,动作,科幻,惊悚,美国,英语,1997,勇闯夺命岛,空中监狱,谍影重重3,终结者2：审判日,飓风营救,生死时速,真实的谎言,碟中谍,黑客帝国3：矩阵革命,我，机器人
47,速度与激情5 Fast Five,林诣,范·迪塞尔,保罗·沃克,乔丹娜·布鲁斯特,动作,犯罪,unknown,美国,英语,2011,速度与激情4,碟中谍4,飓风营救,谍影重重3,蝙蝠侠：黑暗骑士崛起,王牌特工：特工学院,钢铁侠,猫鼠游戏,美国队长2,变形金刚2
48,霍比特人2：史矛革之战 The Hobbit: The Desolation of Smaug,彼得·杰克,伊恩·麦克莱恩,马丁·弗瑞曼,理查德·阿米蒂奇,动作,奇幻,冒险,美国,英语,2013,霍比特人1：意外之旅,指环王2：双塔奇兵,加勒比海盗2：聚魂棺,哈利·波特与密室,神奇动物在哪里,少年派的奇幻漂流,奇异博士,驯龙高手2,惊天魔盗团,头号玩家
49,切腹,小林正,仲代达矢,石浜朗,岩下志麻,剧情,动作,悬疑,日本,日语,1962,椿三十郎,大菩萨岭,夺命剑,荒野大镖客,用心棒,黄昏双镖客,侍,影武者,关山飞渡,日落黄沙
50,速度与激情7 Furious 7,温子,范·迪塞尔,保罗·沃克,杰森·斯坦森,动作,犯罪,unknown,美国,英语,2015,速度与激情6,碟中谍5：神秘国度,湄公河行动,王牌特工：特工学院,美国队长3,蝙蝠侠：黑暗骑士崛起,猫鼠游戏,钢铁侠,疯狂的麦克斯4：狂暴之路,复仇者联盟
51,国产凌凌漆 國產凌凌漆,李力,周星驰,袁咏仪,罗家英,喜剧,动作,unknown,中国香港,国语,1994,食神,逃学威龙,鹿鼎记,九品芝麻官,整蛊专家,赌圣,百变星君,大内密探零零发,审死官,赌侠
52,王牌特工：特工学院 Kingsman: The Secret Service,马修·沃,塔伦·埃哲顿,科林·费尔斯,塞缪尔·杰克逊,喜剧,动作,冒险,英国,英语,2014,王牌特工2：黄金圈,唐伯虎点秋香,疯狂的石头,碟中谍4,死侍,功夫,速度与激情7,让子弹飞,银河护卫队,大话西游之月光宝盒
53,钢铁侠 Iron Man,乔恩·费,小罗伯特·唐尼,泰伦斯·霍华德,格温妮斯·帕特洛,动作,科幻,惊悚,美国,英语,2008,钢铁侠2,复仇者联盟,美国队长2,无敌浩克,变形金刚,雷神,蚁人,银河护卫队,X战警,蜘蛛侠
54,小萝莉的猴神大叔 Bajrangi Bhaijaan,卡比尔·,萨尔曼·汗,哈莎莉·马洛特拉,卡琳娜·卡普尔,剧情,喜剧,动作,印度,印地语,2015,唐伯虎点秋香,九品芝麻官,功夫,我的个神啊,喜剧之王,大话西游之月光宝盒,三傻大闹宝莱坞,疯狂的石头,神偷奶爸,让子弹飞
55,碟中谍4 Mission: Impossible - Ghost Protocol,布拉德·伯,汤姆·克鲁斯,杰瑞米·雷纳,西蒙·佩吉,动作,惊悚,冒险,美国,英语,2011,碟中谍3,谍影重重3,速度与激情5,飓风营救,变脸,王牌特工：特工学院,终结者2：审判日,黑客帝国2：重装上阵,蝙蝠侠：黑暗骑士崛起,钢铁侠
56,加勒比海盗2：聚魂棺 Pirates of the Caribbean: Dead Man's Chest,戈尔·维宾斯,约翰尼·德普,奥兰多·布鲁姆,凯拉·奈特莉,动作,奇幻,冒险,美国,英语,2006,加勒比海盗,霍比特人1：意外之旅,哈利·波特与密室,指环王1：护戒使者,查理和巧克力工厂,少年派的奇幻漂流,博物馆奇妙夜,奇异博士,碟中谍4,惊天魔盗团
57,霍比特人1：意外之旅 The Hobbit: An Unexpected Journey,彼得·杰克,伊恩·麦克莱恩,马丁·弗瑞曼,理查德·阿米蒂奇,动作,奇幻,冒险,美国,英语,2012,霍比特人2：史矛革之战,指环王1：护戒使者,加勒比海盗2：聚魂棺,哈利·波特与密室,神奇动物在哪里,少年派的奇幻漂流,奇异博士,驯龙高手2,惊天魔盗团,头号玩家
58,英雄本色2,吴宇,狄龙,张国荣,周润发,剧情,动作,犯罪,中国香港,国语,1987,英雄本色3：夕阳之歌,喋血双雄,古惑仔之人在江湖,新上海滩,精武英雄,赌神2,监狱风云,纵横四海,黑社会,无间道2
59,启示 Apocalypto,梅尔·吉布,鲁迪·杨布拉德,达利娅·埃尔南德斯,乔纳森·布雷维尔,剧情,动作,冒险,美国,英语,2006,勇闯夺命岛,飓风营救,国家公敌,谍影重重3,空中监狱,暴力街区,变脸,角斗士,突袭,疯狂的麦克斯4：狂暴之路
60,疯狂的赛车,宁,黄渤,戎祥,九孔,喜剧,动作,冒险,中国大陆,国语,2009,疯狂的石头,国产凌凌漆,九品芝麻官,食神,甲方乙方,鹿鼎记,人在囧途,逃学威龙,大腕,唐伯虎点秋香
61,鹿鼎记 鹿鼎記,王,周星驰,吴孟达,张敏,喜剧,动作,武侠,中国香港,国语,1992,鹿鼎记2：神龙教,逃学威龙,食神,国产凌凌漆,赌圣,整蛊专家,九品芝麻官,百变星君,审死官,赌侠
62,杀死比尔 Kill Bill: Vol. 1,昆汀·塔伦蒂,乌玛·瑟曼,刘玉玲,薇薇卡·福克斯,动作,惊悚,犯罪,美国,英语,2003,杀死比尔2,被解救的姜戈,罪恶之城,搏击俱乐部,落水狗,疯狂的麦克斯4：狂暴之路,八恶人,发条橙,谍影重重3,低俗小说
63,喋血双雄 喋血雙雄,吴宇,周润发,李修贤,叶倩文,剧情,动作,惊悚,中国香港,国语,1989,英雄本色2,喋血街头,辣手神探,和平饭店,精武英雄,给爸爸的信,监狱风云,枪火,龙虎风云,暗战
64,银翼杀手2049 Blade Runner 2049,丹尼斯·维伦纽,瑞恩·高斯林,哈里森·福特,安娜·德·阿玛斯,剧情,动作,科幻,美国,英语,2017,银翼杀手,降临,2001太空漫游,黑客帝国,这个男人来自地球,头号玩家,沙丘,第九区,火星救援,明日边缘
65,变形金刚 Transformers,迈克尔·,希亚·拉博夫,梅根·福克斯,乔什·杜哈明,动作,科幻,unknown,美国,英语,2007,变形金刚2,钢铁侠,黑客帝国2：重装上阵,我，机器人,终结者2：审判日,我是传奇,蜘蛛侠,X战警,复仇者联盟,侏罗纪公园
66,监狱风云 監獄風雲,林岭,周润发,梁家辉,何家驹,剧情,动作,犯罪,中国香港,国语,1987,监狱风云2：逃犯,英雄本色2,喋血双雄,黑社会,精武英雄,黑金,枪火,古惑仔3之只手遮天,门徒,赌神2
67,第九区 District 9,尼尔·布洛姆坎,沙尔托·科普雷,詹森·库伯,娜塔莉·博尔特,剧情,动作,科幻,美国,英语,2009,这个男人来自地球,我是传奇,黑客帝国3：矩阵革命,我，机器人,变形金刚,终结者2：审判日,E.T.外星人,月球,阿凡达,回到未来
68,金刚狼3：殊死一战 Logan,詹姆斯·曼高,休·杰克曼,帕特里克·斯图尔特,达芙妮·基恩,剧情,动作,科幻,美国,英语,2017,X战警：逆转未来,美国队长3,金刚狼,钢铁侠,复仇者联盟,蚁人,蜘蛛侠,变形金刚,超凡蜘蛛侠2,神奇女侠
69,精英部队2：大敌当前 Tropa de Elite 2 - O Inimigo Agora É Outro,何塞·帕迪里,瓦格纳·马拉,安德烈·拉米罗,米尔黑·考塔兹,剧情,动作,惊悚,巴西,葡萄牙语,2010,精英部队,王牌对王牌,洛城机密,飓风营救,盗火线,训练日,勇闯夺命岛,上帝之城,黑社会,枪火
70,加勒比海盗3：世界的尽头 Pirates of the Caribbean: At World's End,戈尔·维宾斯,约翰尼·德普,杰弗里·拉什,奥兰多·布鲁姆,动作,奇幻,冒险,美国,英语,2007,加勒比海盗2：聚魂棺,霍比特人1：意外之旅,哈利·波特与火焰杯,指环王1：护戒使者,博物馆奇妙夜,查理和巧克力工厂,碟中谍4,功夫,九品芝麻官,大话西游之月光宝盒
