,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,region0,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
26,请以你的名字呼唤我 Call Me by Your Name,卢卡·瓜达尼,艾米·汉莫,提莫西·查拉梅,迈克尔·斯图巴,剧情,爱情,同性,意大利,意大利语,2017,春光乍泄,断背山,燃烧女子的肖像,蓝宇,谁先爱上他的,爱你，西蒙,莫里斯,卡罗尔,每分钟120击,喜宴
27,爱在日落黄昏时 Before Sunset,理查德·林克莱,伊桑·霍克,朱莉·德尔佩,弗农·多布切夫,剧情,爱情,unknown,美国,英语,2004,爱在黎明破晓前,罗马假日,恋恋笔记本,重庆森林,花样年华,甜蜜蜜,傲慢与偏见,爱乐之城,真爱至上,天使爱美丽
28,萤火之森 蛍火の杜へ,大森贵,佐仓绫音,内山昂辉,辻亲八,剧情,爱情,动画,日本,日语,2011,哈尔的移动城堡,天空之城,幽灵公主,侧耳倾听,风之谷,魔女宅急便,言叶之庭,大闹天宫,穿越时空的少女,秒速5厘米
29,牧马人,谢,朱时茂,丛珊,刘琼,剧情,爱情,unknown,中国大陆,国语,1982,天云山传奇,芙蓉镇,罗马假日,人生,老井,甜蜜蜜,泰坦尼克号,倩女幽魂,小城之春,情书
30,莫娣 Maudie,艾斯林·沃,莎莉·霍金斯,伊桑·霍克,卡瑞·玛切特,剧情,爱情,传记,爱尔兰,英语,2016,爱在黎明破晓前,阿德尔曼夫妇,花束般的恋爱,爱乐之城,弗里达,将来的事,恋恋笔记本,赎罪,一一,万物理论
31,侧耳倾听 耳をすませば,近藤喜,本名阳子,小林桂树,高山南,剧情,爱情,动画,日本,日语,1995,天空之城,幽灵公主,风之谷,哈尔的移动城堡,魔女宅急便,红猪,猫的报恩,岁月的童话,起风了,大闹天宫
32,沉静如海 Le silence de la mer,皮埃尔·布特,朱莉·德拉姆,米歇尔·加拉布吕,托马斯·儒阿特,剧情,爱情,战争,法国,法语,2004,穿条纹睡衣的男孩,魂断蓝桥,赎罪,钢琴家,面纱,再见，孩子们,爱在黎明破晓前,布达佩斯之恋,1917,波斯语课
33,爱在午夜降临前 Before Midnight,理查德·林克莱,伊桑·霍克,朱莉·德尔佩,肖姆斯·戴维-菲茨帕特里克,剧情,爱情,unknown,美国,英语,2013,爱在日落黄昏时,罗马假日,恋恋笔记本,重庆森林,花样年华,甜蜜蜜,爱乐之城,傲慢与偏见,真爱至上,天使爱美丽
34,我爱你 그대를 사랑합니다,秋昌,宋在浩,李顺载,尹秀晶,剧情,爱情,unknown,韩国,韩语,2011,恋恋笔记本,爱在日落黄昏时,甜蜜蜜,泰坦尼克号,假如爱有天意,真爱至上,傲慢与偏见,时空恋旅人,剪刀手爱德华,天使爱美丽
35,喜剧之王 喜劇之王,周星,周星驰,张柏芝,莫文蔚,剧情,喜剧,爱情,中国香港,国语,1999,唐伯虎点秋香,九品芝麻官,功夫,射雕英雄传之东成西就,大话西游之月光宝盒,食神,国产凌凌漆,逃学威龙,鹿鼎记,整蛊专家
