电话谋杀案 Dial M for Murder,后窗,西北偏北,夺魂索,火车怪客,惊魂记,三十九级台阶,
小丑 Joker,沉默的羔羊,,,,,,
消失的爱人 Gone Girl,沉默的羔羊,,,,,,
记忆碎片 Memento,非常嫌疑犯,追随,,,,,
洛城机密 L.A. Confidential,非常嫌疑犯,追随,天才瑞普利,老无所依,,,
非常嫌疑犯 The Usual Suspects,追随,,,,,,
精英部队2：大敌当前 Tropa de Elite 2 - O Inimigo Agora É Outro,训练日,,,,,,
网络谜踪 Searching,,,,,,,
蝙蝠侠：侠影之谜 Batman Begins,,,,,,,
变脸 Face/Off,生死时速,碟中谍,,,,,
盗火线 Heat,情枭的黎明,疤面煞星,训练日,,,,
王牌对王牌 The Negotiator,非常嫌疑犯,十一罗汉,追随,,,,
落水狗 Reservoir Dogs,疤面煞星,末路狂花,,,,,
罪恶之城 Sin City,杀死比尔,罪恶之城2,落水狗,,,,
杀死比尔 Kill Bill: Vol. 1,杀死比尔2,罪恶之城,落水狗,,,,
情枭的黎明 Carlito's Way,疤面煞星,铁面无私,,,,,
老无所依 No Country for Old Men,冰血暴,沉默的羔羊,非常嫌疑犯,落水狗,,,
飓风营救 Taken,碟中谍4,金蝉脱壳,,,,,
汉尼拔 Hannibal,红龙,少年汉尼拔,沉默的羔羊,死神来了,,,
夜行者 Nightcrawler,老无所依,非常嫌疑犯,我是谁：没有绝对安全的系统,追随,,,
危情十日 Misery,惊魂记,无声言证,孤儿怨,,,,
我是谁：没有绝对安全的系统 Who Am I - Kein System ist sicher,非常嫌疑犯,,,,,,
空中监狱 Con Air,生死时速,极速60秒,虎胆龙威4,断箭,,,
唐人街 Chinatown,第三人,西北偏北,M就是凶手,电话谋杀案,后窗,,
天才瑞普利 The Talented Mr. Ripley,非常嫌疑犯,追随,,,,,
疤面煞星 Scarface,情枭的黎明,落水狗,,,,,
生死时速 Speed,断箭,虎胆龙威,碟中谍,007之黄金眼,,,
杀死比尔2 Kill Bill: Vol. 2,杀死比尔,罪恶之城,落水狗,碟中谍,,,
双重赔偿 Double Indemnity,第三人,电话谋杀案,M就是凶手,西北偏北,火车怪客,历劫佳人,后窗
龙纹身的女孩 The Girl with the Dragon Tattoo,非常嫌疑犯,追随,,,,,
罗拉快跑 Lola rennt,,,,,,,
杀手 The Killing,杀手之吻,,,,,,
迫在眉梢 John Q,训练日,,,,,,
虎胆龙威 Die Hard,虎胆龙威2,生死时速,碟中谍,007之黄金眼,断箭,,
大佬 Brother,疤面煞星,情枭的黎明,,,,,
微不足道 Big Nothing,,,,,,,
不良教育 La mala educación,,,,,,,
处刑人 The Boondock Saints,罪恶之城,落水狗,怒火攻心,,,,
烈焰焚币 Plata quemada,,,,,,,
狙击电话亭 Phone Booth,非常嫌疑犯,,,,,,
冰血暴 Fargo,老无所依,落水狗,末路狂花,,,,
十一罗汉 Ocean's Eleven,十三罗汉,十二罗汉,偷天换日,剑鱼行动,,,
疾速追杀3 John Wick: Chapter 3 - Parabellum,疾速追杀2,惊天营救,伸冤人,碟中谍5：神秘国度,安娜,,
训练日 Training Day,借刀杀人,剑鱼行动,偷天换日,十一罗汉,,,
夺魂索 Rope,火车怪客,电话谋杀案,西北偏北,三十九级台阶,后窗,,
少数派报告 Minority Report,,,,,,,
续命之徒：绝命毒师电影 El Camino: A Breaking Bad Movie,老无所依,小丑,孟买酒店,,,,
疾速追杀2 John Wick: Chapter 2,疾速追杀3,碟中谍3,伸冤人,会计刺客,边境杀手,安娜,
疾速追杀 John Wick,疾速追杀2,伸冤人,碟中谍5：神秘国度,边境杀手,安娜,,
精英部队 Tropa de Elite,边境杀手,训练日,,,,,
火车怪客 Strangers on a Train,三十九级台阶,夺魂索,狂凶记,西北偏北,电话谋杀案,,
神秘河 Mystic River,非常嫌疑犯,追随,,,,,
亡命天涯 The Fugitive,生死时速,虎胆龙威,断箭,浪人,,,
红龙 Red Dragon,汉尼拔,少年汉尼拔,沉默的羔羊,,,,
偷天陷阱 Entrapment,偷天换日,生死时速,断箭,剑鱼行动,虎胆龙威4,,
边境杀手 Sicario,疾速追杀2,老无所依,伸冤人,会计刺客,,,
美国精神病人 American Psycho,老无所依,红龙,汉尼拔,危情十日,惊魂记,天才瑞普利,
恶魔 Les Diaboliques,恐惧的代价,第三人,M就是凶手,电话谋杀案,足迹,历劫佳人,
